SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200706,20070402,2,17,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000923296,UM,YF,9.94105E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200725,20070814,3,14,3,4.56,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000992085,MM,YF,9.94107E+14,L,UM,Full Shop,Fresh,STORE00001,LS,E02
200651,20070214,4,21,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000109773,UM,,9.94105E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200742,20071211,3,19,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000341004,MM,YA,9.94109E+14,M,MM,Top Up,Mixed,STORE00001,LS,E02
200724,20070812,1,16,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000425522,UM,YA,9.94107E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200735,20071024,4,15,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000341004,MM,YA,9.94108E+14,S,UM,Small Shop,Fresh,STORE00001,LS,E02
200706,20070407,7,21,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000147574,MM,YA,9.94105E+14,M,MM,Small Shop,Mixed,STORE00001,LS,E02
200645,20070104,5,21,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,,,,9.94104E+14,L,UM,Top Up,Mixed,STORE00001,LS,E02
200652,20070223,6,14,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000109773,UM,,9.94105E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200723,20070802,5,10,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000147574,MM,YA,9.94107E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200730,20070920,5,20,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000674164,UM,,9.94108E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200742,20071216,1,21,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000679573,UM,OT,9.94109E+14,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200722,20070726,5,20,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000147574,MM,YA,9.94107E+14,M,UM,Top Up,Fresh,STORE00001,LS,E02
200724,20070810,6,14,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000851524,MM,OT,9.94107E+14,M,MM,Top Up,Fresh,STORE00001,LS,E02
200651,20070215,5,10,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000173993,UM,OA,9.94105E+14,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200718,20070628,5,9,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000469228,UM,OT,9.94106E+14,L,UM,Full Shop,Fresh,STORE00001,LS,E02
200728,20070903,2,17,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000674164,UM,,9.94107E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200730,20070922,7,15,6,9.12,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000145600,UM,PE,9.94108E+14,L,MM,Top Up,Mixed,STORE00001,LS,E02
200716,20070616,7,13,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000885717,MM,YF,9.94106E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200731,20070925,3,15,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000851524,MM,OT,9.94108E+14,M,MM,Top Up,Fresh,STORE00001,LS,E02
200715,20070608,6,14,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,,,,9.94106E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200731,20070928,6,19,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000094339,UM,YA,9.94108E+14,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200726,20070823,5,17,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000851524,MM,OT,9.94107E+14,M,MM,Top Up,Mixed,STORE00001,LS,E02
200743,20071221,6,19,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000978405,UM,YA,9.94109E+14,M,LA,Small Shop,Grocery,STORE00001,LS,E02
200702,20070308,5,15,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000634688,UM,YA,9.94105E+14,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200702,20070309,6,16,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000109773,UM,,9.94105E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200733,20071009,3,15,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,,,,9.94108E+14,M,MM,Top Up,Fresh,STORE00001,LS,E02
200711,20070510,5,14,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,,,,9.94106E+14,M,LA,Small Shop,Mixed,STORE00001,LS,E02
200708,20070416,2,11,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000992085,MM,YF,9.94105E+14,L,UM,Top Up,Fresh,STORE00001,LS,E02
200719,20070705,5,15,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000341004,MM,YA,9.94107E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200714,20070530,4,12,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000176246,MM,OT,9.94106E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200740,20071129,5,19,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000278486,MM,,9.94109E+14,S,MM,Small Shop,Mixed,STORE00001,LS,E02
200715,20070606,4,16,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000550825,UM,YF,9.94106E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200705,20070328,4,18,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000923296,UM,YF,9.94105E+14,M,MM,Small Shop,Mixed,STORE00001,LS,E02
200714,20070601,6,14,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000800372,MM,YA,9.94106E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200743,20071220,5,13,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000167190,LA,OA,9.94109E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200731,20070929,7,14,3,4.56,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000674164,UM,,9.94108E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200649,20070202,6,21,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000109773,UM,,9.94104E+14,L,UM,Full Shop,Mixed,STORE00001,LS,E02
200731,20070926,4,13,3,4.56,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000092593,UM,OF,9.94108E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200735,20071023,3,15,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000916905,MM,OT,9.94108E+14,M,LA,Top Up,Mixed,STORE00001,LS,E02
200732,20071001,2,15,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000292858,MM,PE,9.94108E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200727,20070831,6,14,1,1.52,PRD0900002,CL00075,DEP00022,G00007,D00002,CUST0000111873,UM,YA,9.94107E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200735,20071022,2,17,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000848108,LA,,9.94108E+14,L,MM,Top Up,Mixed,STORE00001,LS,E02
200740,20071127,3,9,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000068394,MM,OA,9.94109E+14,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200737,20071109,6,21,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000575612,LA,OA,9.94108E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200716,20070611,2,16,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000701067,MM,OT,9.94106E+14,M,MM,Top Up,Grocery,STORE00001,LS,E02
200645,20070101,2,15,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,,,,9.94104E+14,S,MM,Small Shop,Fresh,STORE00001,LS,E02
200732,20071002,3,16,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000361701,MM,YA,9.94108E+14,S,MM,Small Shop,Grocery,STORE00001,LS,E02
200741,20071208,7,13,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000788454,MM,YF,9.94109E+14,L,UM,Top Up,Grocery,STORE00001,LS,E02
200738,20071116,6,16,1,1.14,PRD0900003,CL00144,DEP00051,G00015,D00003,CUST0000938755,UM,,9.94108E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200703,20070313,3,8,1,0.4,PRD0900004,CL00020,DEP00005,G00003,D00001,CUST0000765119,UM,YF,9.94105E+14,S,UM,Small Shop,Fresh,STORE00001,LS,E02
200646,20070111,5,15,3,1.2,PRD0900004,CL00020,DEP00005,G00003,D00001,CUST0000144475,LA,,9.94104E+14,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200650,20070211,1,15,1,0.4,PRD0900004,CL00020,DEP00005,G00003,D00001,CUST0000312411,LA,YF,9.94104E+14,S,UM,Small Shop,Fresh,STORE00001,LS,E02
200648,20070123,3,14,1,0.4,PRD0900004,CL00020,DEP00005,G00003,D00001,,,,9.94104E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200649,20070204,1,9,3,1.2,PRD0900004,CL00020,DEP00005,G00003,D00001,CUST0000765119,UM,YF,9.94104E+14,M,UM,Small Shop,Fresh,STORE00001,LS,E02
200709,20070425,4,18,1,0.4,PRD0900004,CL00020,DEP00005,G00003,D00001,,,,9.94106E+14,M,MM,Top Up,Fresh,STORE00001,LS,E02
200706,20070406,6,21,1,0.4,PRD0900004,CL00020,DEP00005,G00003,D00001,,,,9.94105E+14,S,UM,Small Shop,Fresh,STORE00001,LS,E02
200651,20070216,6,10,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000925425,LA,OT,9.94105E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200648,20070127,7,10,3,3.03,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94104E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200720,20070713,6,16,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94107E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200701,20070226,2,15,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000863326,UM,OA,9.94105E+14,M,LA,Small Shop,Grocery,STORE00001,LS,E02
200702,20070305,2,15,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000184646,MM,YF,9.94105E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200718,20070630,7,15,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000644893,LA,PE,9.94106E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200704,20070324,7,12,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000925425,LA,OT,9.94105E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200702,20070305,2,8,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000863326,UM,OA,9.94105E+14,M,MM,Top Up,Grocery,STORE00001,LS,E02
200652,20070222,5,14,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000100599,UM,YF,9.94105E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200645,20070107,1,8,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000986278,LA,,9.94104E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200645,20070102,3,17,3,3.03,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000997122,LA,OF,9.94104E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200712,20070514,2,11,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000644893,LA,PE,9.94106E+14,L,LA,Top Up,Grocery,STORE00001,LS,E02
200722,20070725,4,17,3,3.03,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94107E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200711,20070513,1,15,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000848108,LA,,9.94106E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200648,20070125,5,18,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000136043,MM,YF,9.94104E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200645,20070101,2,12,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94104E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200649,20070204,1,14,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000644893,LA,PE,9.94104E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200714,20070531,5,19,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000720862,UM,OA,9.94106E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200715,20070608,6,12,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000136043,MM,YF,9.94106E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200652,20070219,2,14,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94105E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200702,20070308,5,9,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000925425,LA,OT,9.94105E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200710,20070503,5,15,3,3.03,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94106E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200714,20070530,4,17,3,3.03,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94106E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200646,20070112,6,16,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,,,,9.94104E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200709,20070426,5,16,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000997122,LA,OF,9.94106E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200718,20070628,5,12,3,3.03,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94106E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200719,20070702,2,18,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,,,,9.94107E+14,L,MM,Top Up,Mixed,STORE00001,LS,E02
200649,20070201,5,14,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000100599,UM,YF,9.94104E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200651,20070217,7,19,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000132570,LA,YF,9.94105E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200649,20070204,1,12,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94104E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200650,20070211,1,18,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000132570,LA,YF,9.94104E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200718,20070630,7,16,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000999935,LA,YF,9.94106E+14,L,LA,Full Shop,Fresh,STORE00001,LS,E02
200711,20070507,2,19,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000352929,MM,OT,9.94106E+14,M,MM,Top Up,Mixed,STORE00001,LS,E02
200702,20070307,4,20,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94105E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200651,20070212,2,16,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000986278,LA,,9.94105E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200713,20070525,6,15,3,3.03,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94106E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200706,20070404,4,14,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000863429,MM,YA,9.94105E+14,L,LA,Full Shop,Grocery,STORE00001,LS,E02
200651,20070212,2,10,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94105E+14,L,MM,Top Up,Fresh,STORE00001,LS,E02
200705,20070326,2,16,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000287611,LA,OT,9.94105E+14,L,LA,Top Up,Grocery,STORE00001,LS,E02
200715,20070604,2,15,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000644893,LA,PE,9.94106E+14,L,LA,Top Up,Grocery,STORE00001,LS,E02
200719,20070708,1,18,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000503950,MM,YA,9.94107E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200650,20070211,1,13,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94104E+14,L,MM,Full Shop,Fresh,STORE00001,LS,E02
200706,20070402,2,11,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000925425,LA,OT,9.94105E+14,L,LA,Full Shop,Mixed,STORE00001,LS,E02
200717,20070620,4,21,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000461850,MM,OA,9.94106E+14,L,LA,Top Up,Mixed,STORE00001,LS,E02
200716,20070616,7,20,1,1.01,PRD0900005,CL00155,DEP00053,G00016,D00003,CUST0000345218,MM,OT,9.94106E+14,L,MM,Full Shop,Grocery,STORE00001,LS,E02
